Chord,E,A,D,G,B,E2,Structure,Note1,Note2,Note3,Note4,Note5,Note6
Am 8,x,3,4,1,1,1,1;b3;5,x,E,A,C,E,A
Am 9,x,x,3,1,x,x,1;b3;5,x,x,A,C,x,x
Am 10,x,x,x,1,1,1,1;b3;5,x,x,x,C,E,A
Am 11,x,0,x,2,1,0,1;b3;5,x,A,x,A,C,E
Am 12,x,0,x,1,1,1,1;b3;5,x,A,x,C,E,A
Am 13,x,0,1,3,x,2,1;b3;5,x,A,A,E,x,C
Am 14,2,x,1,4,x,3,1;b3;5,C,x,A,E,x,C
Am 15,x,0,3,2,4,x,1;b3;5,x,A,C,E,A,x
Am 16,0,x,x,2,3,1,1;b3;5,E,x,x,E,A,C
Am 17,1,x,3,1,1,x,1;b3;5,A,x,A,C,E,x
Am 18,x,0,1,4,4,x,1;b3;5,x,A,E,C,E,x
Am 19,x,x,x,2,1,0,1;b3;5,x,x,x,A,C,E
Am 20,x,4,2,1,x,x,1;b3;5,x,A,C,E,x,x
Am11 1,2,x,3,4,1,x,1;b3;5;b7;9;11,A,x,G,C,D,x
Am11 2,x,0,0,3,0,1,1;b3;5;b7;9;11,x,A,D,C,B,G
Am11 3,1,3,0,0,0,0,1;b3;5;b7;9;11,A,E,D,G,B,E
Am11 4,x,0,2,3,1,x,1;b3;5;b7;9;11,x,A,G,C,D,x
Am11 5,x,0,3,2,1,4,1;b3;5;b7;9;11,x,A,G,B,D,A
Am11 6,2,x,3,4,1,0,1;b3;5;b7;9;11,A,x,G,C,D,E
Am11 7,x,0,4,2,1,1,1;b3;5;b7;9;11,x,A,A,C,D,G
Am11 8,x,0,3,4,0,1,1;b3;5;b7;9;11,x,A,G,C,B,G
Am11 9,x,0,4,2,1,0,1;b3;5;b7;9;11,x,A,A,C,D,E
Am6 1,x,0,2,3,1,4,1;b3;5;6,x,A,E,A,C,F#
Am6 2,1,x,3,1,4,1,1;b3;5;6,A,x,A,C,F#,A
Am6 3,x,0,1,3,2,0,1;b3;5;6,x,A,C,F#,A,E
Am6 4,2,x,1,3,3,3,1;b3;5;6,A,x,F#,C,E,A
Am7 1,x,0,2,0,1,0,1;b3;5;b7,x,A,E,G,C,E
Am7 2,1,3,1,1,4,1,1;b3;5;b7,A,E,G,C,G,A
Am7 3,x,0,1,4,2,3,1;b3;5;b7,x,A,A,E,G,C
Am7 4,1,3,1,1,1,1,1;b3;5;b7,A,E,G,C,E,A
Am7 5,x,0,2,3,1,4,1;b3;5;b7,x,A,E,A,C,G
Am7 6,2,x,3,3,x,x,1;b3;5;b7,A,x,G,C,x,x
Am7 7,2,x,3,3,3,x,1;b3;5;b7,A,x,G,C,E,x
Am7 8,x,0,2,0,1,4,1;b3;5;b7,x,A,E,G,C,G
Am7 9,x,2,1,3,4,x,1;b3;5;b7,x,A,C,G,C,x
Am7 10,x,2,1,3,x,x,1;b3;5;b7,x,A,C,G,x,x
Am7 11,x,0,x,0,1,x,1;b3;5;b7,x,A,x,G,C,x
Am7 12,x,0,2,0,1,x,1;b3;5;b7,x,A,E,G,C,x
Am7 13,x,0,1,1,1,1,1;b3;5;b7,x,A,G,C,E,A
Am7 14,x,1,x,x,2,4,1;b3;5;b7,x,A,x,x,C,G
Am7 15,3,x,2,0,1,0,1;b3;5;b7,G,x,E,G,C,E
Am7 16,x,0,3,3,x,x,1;b3;5;b7,x,A,G,C,x,x
Am7 17,2,x,1,3,2,x,1;b3;5;b7,C,x,A,E,G,x
Am7 18,x,1,3,3,3,3,1;b3;5;b7,x,C,G,C,E,A
Am7 19,x,x,2,3,1,4,1;b3;5;b7,x,x,E,A,C,G
Am7 20,4,x,2,3,1,0,1;b3;5;b7,G,x,E,A,C,E
Am7b5 1,2,x,3,4,1,x,1;b3;b5;b7,A,x,G,C,Eb,x
Am9 1,x,0,2,4,1,3,1;b3;5;b7;9,x,A,E,B,C,G
Am9 2,x,0,1,1,1,3,1;b3;5;b7;9,x,A,G,C,E,B
Am9 3,x,2,1,3,4,0,1;b3;5;b7;9,x,A,C,G,B,E
Am9 4,x,x,2,1,4,3,1;b3;5;b7;9,x,x,A,C,G,B
Am9 5,x,2,1,3,4,x,1;b3;5;b7;9,x,A,C,G,B,x
Am9 6,x,0,3,4,0,0,1;b3;5;b7;9,x,A,G,C,B,E
Am9 7,x,0,2,0,0,0,1;b3;5;b7;9,x,A,E,G,B,E
Am9 8,4,2,1,0,0,x,1;b3;5;b7;9,A,C,E,G,B,x
Am9 9,x,0,1,1,4,3,1;b3;5;b7;9,x,A,G,C,G,B
Am9 10,1,3,1,1,1,4,1;b3;5;b7;9,A,E,G,C,E,B
Amaj 1,1,3,4,2,1,1,1;3;5,A,E,A,C#,E,A
Amaj 2,x,4,3,1,2,1,1;3;5,x,A,C#,E,A,C#
Amaj 3,0,3,x,1,4,0,1;3;5,E,C#,x,A,E,E
Amaj 4,x,1,4,x,x,2,1;3;5,x,C#,A,x,x,A
Amaj 5,x,0,1,1,1,4,1;3;5,x,A,E,A,C#,A
Amaj 6,x,0,3,2,1,0,1;3;5,x,A,A,C#,E,E
Amaj 7,x,x,x,1,3,2,1;3;5,x,x,x,E,A,C#
Amaj 8,x,0,1,1,1,x,1;3;5,x,A,E,A,C#,x
Amaj 9,x,x,x,2,1,0,1;3;5,x,x,x,C#,E,E
Amaj 10,x,0,3,2,1,1,1;3;5,x,A,A,C#,E,A
Amaj 11,x,0,1,3,4,2,1;3;5,x,A,A,E,A,C#
Amaj 12,x,3,1,1,1,x,1;3;5,x,C#,E,A,C#,x
Amaj 13,2,1,x,x,x,x,1;3;5,A,C#,x,x,x,x
Amaj 14,x,1,3,3,3,1,1;3;5,x,A,E,A,C#,E
Amaj 15,x,x,3,1,2,x,1;3;5,x,x,C#,E,A,x
Amaj 16,x,3,4,2,1,1,1;3;5,x,E,A,C#,E,A
Amaj 17,x,x,3,2,1,x,1;3;5,x,x,A,C#,E,x
Amaj13 1,1,x,2,3,4,x,1;3;5;7;9;11;13,A,x,G#,C#,F#,x
Amaj13 2,x,0,4,1,3,0,1;3;5;7;9;11;13,x,A,F#,G#,C#,E
Amaj7 1,x,0,2,1,3,0,1;3;5;7,x,A,E,G#,C#,E
Amaj7 2,x,0,4,3,2,1,1;3;5;7,x,A,A,C#,E,G#
Amaj7 3,x,4,3,1,1,1,1;3;5;7,x,A,C#,E,G#,C#
Amaj7 4,1,x,3,4,2,x,1;3;5;7,A,x,G#,C#,E,x
Amaj7 5,x,3,4,1,2,0,1;3;5;7,x,G#,C#,E,A,E
Amaj7 6,x,x,x,1,1,3,1;3;5;7,x,x,x,A,C#,G#
Amaj9 1,x,0,2,1,0,0,1;3;5;7;9,x,A,E,G#,B,E
Amaj9 2,2,1,4,1,3,x,1;3;5;7;9,A,C#,G#,B,E,x
Amaj9 3,x,2,1,4,3,0,1;3;5;7;9,x,A,C#,G#,B,E
Amaj9 4,x,0,1,3,1,4,1;3;5;7;9,x,A,E,B,C#,G#
Amajm 1,0,0,1,2,3,0,1;3;5,A,E,A,C#,E,x
Asus2 1,x,0,2,3,0,0,1;2;5,x,A,E,A,B,E
Asus2 2,0,0,1,4,0,0,1;2;5,E,A,E,B,B,E
Asus2 3,x,0,1,3,4,1,1;2;5,x,A,A,E,A,B
Asus2 4,x,0,2,3,0,x,1;2;5,x,A,E,A,B,x
Asus4 1,x,0,1,1,2,0,1;4;5,x,A,E,A,D,E
Asus4 2,x,0,3,4,1,1,1;4;5,x,A,A,D,E,A
Asus4 3,x,0,1,2,3,4,1;4;5,x,A,A,E,A,D
Asus4 4,x,0,1,1,2,x,1;4;5,x,A,E,A,D,x
A#5 1,1,3,x,x,x,x,1;5,A#,E#,x,x,x,x
A#6 1,x,1,3,3,3,3,1;3;5;6,x,A#,E#,A#,C##,F##
A#6 2,1,x,3,2,4,1,1;3;5;6,A#,x,A#,C##,F##,A#
A#6 3,x,x,1,3,1,4,1;3;5;6,x,x,A#,E#,F##,C##
A#7 1,x,1,3,1,4,1,1;3;5;b7,x,A#,E#,G#,C##,E#
A#7 2,1,3,1,2,4,1,1;3;5;b7,A#,E#,G#,C##,G#,A#
A#7 3,x,x,1,3,2,4,1;3;5;b7,x,x,A#,E#,G#,C##
A#9 1,x,2,0,3,4,x,1;3;5;b7;9,x,A#,C##,G#,B#,x
A#9 2,x,1,3,2,4,x,1;3;5;b7;9,x,C##,G#,B#,E#,x
A#9 3,1,x,1,2,1,4,1;3;5;b7;9,A#,x,G#,C##,E#,B#
A#11 1,x,1,1,1,1,1,1;3;5;b7;9;11,x,A#,D#,G#,B#,E#
A#11 2,3,x,4,2,1,1,1;3;5;b7;9;11,A#,x,G#,B#,D#,G#
A#11 3,x,x,1,1,2,1,1;3;5;b7;9;11,x,x,A#,D#,G#,B#
A#13 1,x,1,0,2,3,4,1;3;5;b7;9;11;13,x,A#,C##,G#,B#,F##
A#13 2,4,x,3,2,1,1,1;3;5;b7;9;11;13,A#,x,G#,B#,C##,F##
A#13 3,1,x,1,2,3,4,1;3;5;b7;9;11;13,A#,x,G#,C##,F##,B#
A#43991 1,x,1,0,0,2,3,1;3;5;6;9,x,A#,C##,F##,B#,E#
A#43991 2,2,1,1,1,3,4,1;3;5;6;9,A#,C##,F##,B#,E#,A#
A#43991 3,x,x,2,1,3,4,1;3;5;6;9,x,x,A#,C##,F##,B#
A#7(#5) 1,x,1,4,1,3,2,1;3;#5;b7,x,A#,E##,G#,C##,E##
A#7(#5) 2,1,x,1,2,3,1,1;3;#5;b7,A#,x,G#,C##,E##,A#
A#7(#5) 3,x,1,2,1,1,x,1;3;#5;b7,x,G#,C##,E##,A#,x
A#7(#9) 1,x,1,0,2,4,3,1;3;5;b7;#9,x,A#,C##,G#,B##,E#
A#7(#9) 2,2,1,3,3,3,x,1;3;5;b7;#9,A#,C##,G#,B##,E#,x
A#7(#9) 3,1,3,1,2,1,4,1;3;5;b7;#9,A#,E#,G#,C##,E#,B##
A#7(b9) 1,x,1,0,2,x,3,1;3;5;b7;b9,x,A#,C##,G#,x,E#
A#7(b9) 2,3,2,4,1,x,x,1;3;5;b7;b9,A#,C##,G#,B,x,x
A#7(b9) 3,1,x,1,2,1,3,1;3;5;b7;b9,A#,x,G#,C##,E#,B
A#7b5 1,x,1,2,1,3,x,1;3;b5;b7,x,A#,E,G#,C##,x
A#7b5 2,x,x,2,4,1,3,1;3;b5;b7,x,x,G#,C##,E,A#
A#7b5 3,x,x,1,2,3,4,1;3;b5;b7,x,x,A#,E,G#,C##
A#7sus4 1,x,1,3,1,4,1,1;4;5;b7,x,A#,E#,G#,D#,E#
A#7sus4 2,1,3,1,4,1,1,1;4;5;b7,A#,E#,G#,D#,E#,A#
A#7sus4 3,x,x,1,3,2,4,1;4;5;b7,x,x,A#,E#,G#,D#
A#9b5 1,0,1,0,2,3,0,1;3;b5;b7;9,E,A#,C##,G#,B#,E
A#9b5 2,2,1,3,1,1,4,1;3;b5;b7;9,A#,C##,G#,B#,E,A#
A#9b5 3,x,x,1,2,3,1,1;3;b5;b7;9,x,x,A#,E,G#,B#
A#aug 1,x,3,2,1,1,x,1;3;#5,x,C##,E##,A#,C##,x
A#aug 2,4,3,2,1,x,x,1;3;#5,A#,C##,E##,A#,x,x
A#aug 3,x,x,4,2,3,1,1;3;#5,x,x,C##,E##,A#,C##
A#dim 1,x,1,2,3,4,x,1;b3;b5,x,A#,E,A#,C#,x
A#dim 2,x,x,4,3,1,2,1;b3;b5,x,x,A#,C#,E,A#
A#dim 3,1,2,3,1,x,x,1;b3;b5,A#,E,A#,C#,x,x
A#dim7 1,2,4,1,3,x,x,1;b3;b5;bb7,G,C#,E,A#,x,x
A#dim7 2,x,2,3,1,4,x,1;b3;b5;bb7,x,C#,G,A#,E,x
A#dim7 3,x,x,1,3,2,4,1;b3;b5;bb7,x,x,A#,E,G,C#
A#dim7 4,x,1,2,0,3,x,1;b3;b5;bb7,x,A#,E,G,C#,x
A#dim7 5,2,x,1,3,x,x,1;b3;b5;bb7,A#,x,G,C#,x,x
A#dim7 6,2,x,1,3,x,x,1;b3;b5;bb7,C#,x,A#,E,x,x
A#dim7 7,3,x,1,4,2,x,1;b3;b5;bb7,A#,x,G,C#,E,x
A#dim7 8,x,2,3,1,4,x,1;b3;b5;bb7,x,E,A#,C#,G,x
A#m 1,x,1,3,4,2,1,1;b3;5,x,A#,E#,A#,C#,E#
A#m 2,1,3,4,1,1,1,1;b3;5,A#,E#,A#,C#,E#,A#
A#m 3,x,x,1,3,4,2,1;b3;5,x,x,A#,E#,A#,C#
A#m 4,x,x,3,1,1,x,1;b3;5,x,x,A#,C#,E#,x
A#m6 1,x,1,3,0,2,4,1;b3;5;6,x,A#,E#,F##,C#,F##
A#m6 2,1,x,3,1,4,1,1;b3;5;6,A#,x,A#,C#,F##,A#
A#m6 3,x,x,1,3,1,2,1;b3;5;6,x,x,A#,E#,F##,C#
A#m7 1,x,1,3,1,2,1,1;b3;5;b7,x,A#,E#,G#,C#,E#
A#m7 2,1,3,1,1,4,1,1;b3;5;b7,A#,E#,G#,C#,G#,A#
A#m7 3,x,x,1,4,2,3,1;b3;5;b7,x,x,A#,E#,G#,C#
A#m9 1,3,1,4,2,x,x,1;b3;5;b7;9,A#,C#,G#,B#,x,x
A#m9 2,1,3,1,1,1,4,1;b3;5;b7;9,A#,E#,G#,C#,E#,B#
A#m9 3,x,2,1,3,4,x,1;b3;5;b7;9,x,A#,C#,G#,B#,x
A#maj 1,x,1,3,3,3,x,1;3;5,x,A#,E#,A#,C##,x
A#maj 2,1,3,4,2,1,1,1;3;5,A#,E#,A#,C##,E#,A#
A#maj 3,x,4,3,1,2,1,1;3;5,x,A#,C##,E#,A#,C##
A#maj7 1,x,1,3,2,4,1,1;3;5;7,x,A#,E#,G##,C##,E#
A#maj7 2,1,4,2,3,1,x,1;3;5;7,A#,E#,G##,C##,E#,x
A#maj7 3,x,4,3,1,1,1,1;3;5;7,x,A#,C##,E#,G##,C##
A#maj9 1,x,1,0,4,2,3,1;3;5;7;9,x,A#,C##,G##,B#,E#
A#maj9 2,2,1,4,1,x,x,1;3;5;7;9,A#,C##,G##,B#,x,x
A#maj9 3,x,x,4,1,2,1,1;3;5;7;9,x,x,A#,B#,E#,G##
A#sus4 1,x,1,2,3,4,1,1;4;5,x,A#,E#,A#,D#,E#
A#sus4 2,x,x,1,1,2,4,1;4;5,x,x,E#,A#,D#,A#
A#sus4 3,1,1,3,4,1,1,1;4;5,A#,D#,A#,D#,E#,A#
Ab5 1,1,3,x,x,x,x,1;5,Ab,Eb,x,x,x,x
Ab5 2,1,3,4,x,x,x,1;5,Ab,Eb,Ab,x,x,x
Ab5 3,x,1,1,x,x,x,1;5,x,Eb,Ab,x,x,x
Ab5 4,x,1,3,4,x,x,1;5,x,Ab,Eb,Ab,x,x
Ab6 1,x,x,1,1,1,1,1;3;5;6,x,x,Eb,Ab,C,F
Ab6 2,1,x,3,2,4,1,1;3;5;6,Ab,x,Ab,C,F,Ab
Ab6 3,x,4,2,3,1,x,1;3;5;6,x,Ab,C,F,Ab,x
Ab6 4,x,x,3,2,4,1,1;3;5;6,x,x,Ab,C,F,Ab
Ab6 5,2,x,1,4,x,x,1;3;5;6,Ab,x,F,C,x,x
Ab6 6,1,x,x,3,4,x,1;3;5;6,Ab,x,x,C,F,x
Ab6 7,x,x,1,3,1,4,1;3;5;6,x,x,Ab,Eb,F,C
Ab7 1,x,x,1,1,1,2,1;3;5;b7,x,x,Eb,Ab,C,Gb
Ab7 2,1,3,1,2,4,1,1;3;5;b7,Ab,Eb,Gb,C,Gb,Ab
Ab7 3,x,1,3,1,4,1,1;3;5;b7,x,Ab,Eb,Gb,C,Eb
Ab7 4,x,x,x,2,1,3,1;3;5;b7,x,x,x,Eb,Gb,C
Ab7 5,1,3,1,2,1,1,1;3;5;b7,Ab,Eb,Gb,C,Eb,Ab
Ab7 6,1,x,2,3,x,x,1;3;5;b7,Ab,x,Gb,C,x,x
Ab7 7,x,2,1,3,x,x,1;3;5;b7,x,Ab,C,Gb,x,x
Ab7 8,x,x,1,3,2,4,1;3;5;b7,x,x,Ab,Eb,Gb,C
