Chord,E,A,D,G,B,E2,Structure,Note1,Note2,Note3,Note4,Note5,Note6
A7 11,x,0,1,3,2,0,1;3;5;b7,A,G,C#,E,E,x
A7 12,x,2,1,3,x,x,1;3;5;b7,A,C#,G,x,x,x
A7 13,x,0,x,x,1,3,1;3;5;b7,A,C#,G,x,x,x
A7 14,1,x,2,3,x,x,1;3;5;b7,A,G,C#,x,x,x
A7 15,x,0,x,0,2,x,1;3;5;b7,A,G,C#,x,x,x
A7 16,x,0,3,0,2,1,1;3;5;b7,A,C#,G,A,C#,x
A7 17,x,2,x,1,3,0,1;3;5;b7,G,E,A,E,x,x
A9 1,x,0,1,3,1,2,1;3;5;b7;9,A,E,B,C#,G,x
A9 2,x,0,2,1,3,4,1;3;5;b7;9,A,G,B,E,A,x
A9 3,x,0,1,2,1,3,1;3;5;b7;9,A,G,C#,E,B,x
A11 1,x,0,0,0,0,0,1;3;5;b7;9;11,A,D,G,B,E,x
A11 2,x,0,3,2,1,1,1;3;5;b7;9;11,A,G,B,D,G,x
A11 3,x,0,1,1,2,1,1;3;5;b7;9;11,A,A,D,G,B,x
A13 1,x,0,4,3,1,1,1;3;5;b7;9;11;13,A,G,B,C#,F#,x
A13 2,1,x,1,2,3,4,1;3;5;b7;9;11;13,A,G,C#,F#,B,x
A13 3,x,0,1,2,3,4,1;3;5;b7;9;11;13,A,C#,G,B,F#,x
A13 4,x,0,1,2,3,1,1;3;5;b7;9;11;13,A,G,C#,F#,A,x
A13 5,1,3,1,2,4,1,1;3;5;b7;9;11;13,A,E,G,C#,F#,A
A13 6,1,x,2,3,4,x,1;3;5;b7;9;11;13,A,G,C#,F#,x,x
A13 7,1,x,3,2,4,x,1;3;5;b7;9;11;13,A,A,C#,F#,x,x
A13 8,x,1,3,4,2,x,1;3;5;b7;9;11;13,G,C#,F#,A,x,x
A13 9,x,2,1,3,3,4,1;3;5;b7;9;11;13,A,C#,G,B,F#,x
A13 10,x,x,2,1,3,3,1;3;5;b7;9;11;13,E,G,C#,F#,x,x
A13 11,x,x,1,2,3,1,1;3;5;b7;9;11;13,G,C#,F#,A,x,x
A13 12,x,x,1,2,3,3,1;3;5;b7;9;11;13,G,C#,F#,B,x,x
A43991 1,x,0,3,1,0,0,1;3;5;6;9,A,F#,A,B,E,x
A43991 2,x,0,1,1,3,4,1;3;5;6;9,A,F#,B,E,A,x
A43991 3,x,0,2,1,3,4,1;3;5;6;9,A,A,C#,F#,B,x
A13(#11) 1,x,1,2,2,4,3,1;3;5;b7;9;#11;13,G,C#,F#,B,D#,x
A13(#9) 1,x,x,1,2,3,4,1;3;5;b7;#9;11;13,G,C#,F#,B#,x,x
A13(b9) 1,x,x,1,2,4,3,1;3;5;b7;b9;11;13,G,C#,F#,Bb,x,x
A7(#11) 1,2,x,3,4,1,x,1;3;5;b7;#11,A,G,C#,D#,x,x
A7(#5) 1,x,0,3,0,2,1,1;3;#5;b7,A,E#,G,C#,E#,x
A7(#5) 2,1,x,1,2,3,1,1;3;#5;b7,A,G,C#,E#,A,x
A7(#5) 3,x,1,2,1,1,x,1;3;#5;b7,G,C#,E#,A,x,x
A7(#5) 4,1,x,2,3,4,x,1;3;#5;b7,A,G,C#,E#,x,x
A7(#9) 1,x,0,1,4,1,2,1;3;5;b7;#9,A,E,B#,C#,G,x
A7(#9) 2,x,0,1,2,1,4,1;3;5;b7;#9,A,G,C#,E,B#,x
A7(#9) 3,x,2,1,3,4,0,1;3;5;b7;#9,A,C#,G,B#,E,x
A7(#9) 4,x,0,2,1,4,4,1;3;5;b7;#9,A,A,C#,G,B#,x
A7(#9) 5,x,2,3,1,4,4,1;3;5;b7;#9,E,A,C#,G,B#,x
A7(#9) 6,x,2,1,3,4,x,1;3;5;b7;#9,A,C#,G,B#,x,x
A7(#9) 7,x,x,2,1,3,4,1;3;5;b7;#9,A,C#,G,B#,x,x
A7(#9) 8,1,3,1,2,4,4,1;3;5;b7;#9,A,E,G,C#,G,B#
A7(#9) 9,x,x,1,2,1,4,1;3;5;b7;#9,G,C#,E,B#,x,x
A7(#9) 10,2,1,3,3,x,x,1;3;5;b7;#9,A,C#,G,B#,x,x
A7(b13) 1,x,0,2,0,3,1,1;3;5;b7;b13,A,E,G,C#,F,x
A7(b9) 1,3,2,4,1,x,x,1;3;5;b7;b9,A,C#,G,Bb,x,x
A7(b9) 2,1,x,1,2,1,3,1;3;5;b7;b9,A,G,C#,E,Bb,x
A7(b9) 3,x,0,1,3,2,x,1;3;5;b7;b9,A,C#,G,Bb,x,x
A7b5 1,x,0,1,0,2,x,1;3;b5;b7,A,Eb,G,C#,x,x
A7b5 2,x,0,2,4,1,3,1;3;b5;b7,A,G,C#,Eb,A,x
A7b5 3,x,0,1,2,3,4,1;3;b5;b7,A,A,Eb,G,C#,x
A7sus4 1,x,0,1,0,3,0,1;4;5;b7,A,E,G,D,E,x
A7sus4 2,1,3,1,4,1,1,1;4;5;b7,A,E,G,D,E,A
A7sus4 3,x,0,1,1,2,4,1;4;5;b7,A,A,D,G,D,x
A9(#11) 1,2,x,3,1,1,x,1;3;5;b7;9;#11,A,G,B,D#,x,x
A9b5 1,x,0,1,0,0,x,1;3;b5;b7;9,A,Eb,G,B,x,x
A9b5 2,2,1,3,1,1,4,1;3;b5;b7;9,A,C#,G,B,Eb,A
A9b5 3,x,0,1,2,3,1,1;3;b5;b7;9,A,A,Eb,G,B,x
Aadd9 1,x,0,2,1,0,0,1;3;5;9,A,A,C#,B,E,x
Aadd9 2,x,0,1,4,2,0,1;3;5;9,A,E,B,C#,E,x
Aadd9 3,1,3,4,2,0,0,1;3;5;9,A,E,A,C#,B,E
Aadd9 4,x,x,3,2,1,4,1;3;5;9,A,C#,E,B,x,x
Aadd9 5,0,3,4,2,0,0,1;3;5;9,E,E,A,C#,B,E
Aadd9 6,x,2,3,1,0,0,1;3;5;9,E,A,C#,B,E,x
Aaug 1,x,3,2,1,1,x,1;3;#5,C#,E#,A,C#,x,x
Aaug 2,4,3,2,1,x,x,1;3;#5,A,C#,E#,A,x,x
Aaug 3,x,x,4,2,3,1,1;3;#5,C#,E#,A,C#,x,x
Aaug 4,x,0,4,2,3,1,1;3;#5,A,E#,A,C#,E#,x
Adim 1,x,0,1,2,3,x,1;b3;b5,A,Eb,A,C,x,x
Adim 2,x,0,4,3,1,2,1;b3;b5,A,A,C,Eb,A,x
Adim 3,x,0,1,2,4,3,1;b3;b5,A,A,Eb,A,C,x
Adim 4,x,0,1,3,x,x,1;b3;b5,A,Eb,A,x,x,x
Adim7 1,2,4,1,3,x,x,1;b3;b5;bb7,A,Eb,Gb,C,x,x
Adim7 2,x,2,3,1,4,x,1;b3;b5;bb7,Gb,C,Eb,A,x,x
Adim7 3,x,x,1,3,2,4,1;b3;b5;bb7,C,Gb,A,Eb,x,x
Adim7 4,x,x,1,3,2,4,1;b3;b5;bb7,Eb,A,C,Gb,x,x
Adim7 5,x,0,1,3,2,4,1;b3;b5;bb7,A,Gb,C,Eb,A,x
Adim7 6,x,x,1,3,2,4,1;b3;b5;bb7,A,Eb,Gb,C,x,x
Adim7 7,x,0,1,3,x,x,1;b3;b5;bb7,A,Gb,C,x,x,x
Adim7 8,x,x,1,3,2,4,1;b3;b5;bb7,Gb,C,Eb,A,x,x
Adim7 9,2,x,1,3,1,x,1;b3;b5;bb7,A,Gb,C,Eb,x,x
Adim7 10,x,x,x,2,1,3,1;b3;b5;bb7,Eb,Gb,C,x,x,x
Adim7 11,x,0,x,2,1,3,1;b3;b5;bb7,A,Eb,Gb,C,x,x
Adim7 12,x,0,x,x,3,1,1;b3;b5;bb7,A,Eb,Gb,x,x,x
Adim7 13,x,2,3,1,4,x,1;b3;b5;bb7,A,Eb,Gb,C,x,x
Adim7 14,2,x,1,3,x,x,1;b3;b5;bb7,A,Gb,C,x,x,x
Adim7 15,x,3,1,2,x,x,1;b3;b5;bb7,Gb,A,Eb,x,x,x
Adim7 16,x,3,1,2,x,x,1;b3;b5;bb7,A,C,Gb,x,x,x
Adim7 17,x,2,3,1,4,x,1;b3;b5;bb7,Eb,A,C,Gb,x,x
Adim7 18,2,x,1,3,x,x,1;b3;b5;bb7,Gb,Eb,A,x,x,x
Am 1,0,0,2,3,1,0,1;b3;5,A,E,A,C,E,E
Am 2,1,3,4,1,1,1,1;b3;5,A,E,A,C,E,A
Am 3,x,0,1,3,4,2,1;b3;5,A,A,E,A,C,x
Am 4,x,0,3,1,1,1,1;b3;5,A,A,C,E,A,x
Am 5,x,4,2,3,1,0,1;b3;5,C,E,A,C,E,x
Am 6,x,x,3,1,1,1,1;b3;5,A,C,E,A,x,x
Am 7,x,x,x,2,1,0,1;b3;5,C,E,E,x,x,x
Am 8,x,3,4,1,1,1,1;b3;5,E,A,C,E,A,x
Am 9,x,x,3,1,x,x,1;b3;5,A,C,x,x,x,x
Am 10,x,x,x,1,1,1,1;b3;5,C,E,A,x,x,x
Am 11,x,0,x,2,1,0,1;b3;5,A,A,C,E,x,x
Am 12,x,0,x,1,1,1,1;b3;5,A,C,E,A,x,x
Am 13,x,0,1,3,x,2,1;b3;5,A,A,E,C,x,x
Am 14,2,x,1,4,x,3,1;b3;5,C,A,E,C,x,x
Am 15,x,0,3,2,4,x,1;b3;5,A,C,E,A,x,x
Am 16,0,x,x,2,3,1,1;b3;5,E,E,A,C,x,x
Am 17,1,x,3,1,1,x,1;b3;5,A,A,C,E,x,x
Am 18,x,0,1,4,4,x,1;b3;5,A,E,C,E,x,x
Am 19,x,x,x,2,1,0,1;b3;5,A,C,E,x,x,x
Am 20,x,4,2,1,x,x,1;b3;5,A,C,E,x,x,x
Am11 1,2,x,3,4,1,x,1;b3;5;b7;9;11,A,G,C,D,x,x
Am11 2,x,0,0,3,0,1,1;b3;5;b7;9;11,A,D,C,B,G,x
Am11 3,1,3,0,0,0,0,1;b3;5;b7;9;11,A,E,D,G,B,E
Am11 4,x,0,2,3,1,x,1;b3;5;b7;9;11,A,G,C,D,x,x
Am11 5,x,0,3,2,1,4,1;b3;5;b7;9;11,A,G,B,D,A,x
Am11 6,2,x,3,4,1,0,1;b3;5;b7;9;11,A,G,C,D,E,x
Am11 7,x,0,4,2,1,1,1;b3;5;b7;9;11,A,A,C,D,G,x
Am11 8,x,0,3,4,0,1,1;b3;5;b7;9;11,A,G,C,B,G,x
Am11 9,x,0,4,2,1,0,1;b3;5;b7;9;11,A,A,C,D,E,x
Am6 1,x,0,2,3,1,4,1;b3;5;6,A,E,A,C,F#,x
Am6 2,1,x,3,1,4,1,1;b3;5;6,A,A,C,F#,A,x
Am6 3,x,0,1,3,2,0,1;b3;5;6,A,C,F#,A,E,x
Am6 4,2,x,1,3,3,3,1;b3;5;6,A,F#,C,E,A,x
Am7 1,x,0,2,0,1,0,1;b3;5;b7,A,E,G,C,E,x
Am7 2,1,3,1,1,4,1,1;b3;5;b7,A,E,G,C,G,A
Am7 3,x,0,1,4,2,3,1;b3;5;b7,A,A,E,G,C,x
Am7 4,1,3,1,1,1,1,1;b3;5;b7,A,E,G,C,E,A
Am7 5,x,0,2,3,1,4,1;b3;5;b7,A,E,A,C,G,x
Am7 6,2,x,3,3,x,x,1;b3;5;b7,A,G,C,x,x,x
Am7 7,2,x,3,3,3,x,1;b3;5;b7,A,G,C,E,x,x
Am7 8,x,0,2,0,1,4,1;b3;5;b7,A,E,G,C,G,x
Am7 9,x,2,1,3,4,x,1;b3;5;b7,A,C,G,C,x,x
Am7 10,x,2,1,3,x,x,1;b3;5;b7,A,C,G,x,x,x
Am7 11,x,0,x,0,1,x,1;b3;5;b7,A,G,C,x,x,x
Am7 12,x,0,2,0,1,x,1;b3;5;b7,A,E,G,C,x,x
Am7 13,x,0,1,1,1,1,1;b3;5;b7,A,G,C,E,A,x
Am7 14,x,1,x,x,2,4,1;b3;5;b7,A,C,G,x,x,x
Am7 15,3,x,2,0,1,0,1;b3;5;b7,G,E,G,C,E,x
Am7 16,x,0,3,3,x,x,1;b3;5;b7,A,G,C,x,x,x
Am7 17,2,x,1,3,2,x,1;b3;5;b7,C,A,E,G,x,x
Am7 18,x,1,3,3,3,3,1;b3;5;b7,C,G,C,E,A,x
Am7 19,x,x,2,3,1,4,1;b3;5;b7,E,A,C,G,x,x
Am7 20,4,x,2,3,1,0,1;b3;5;b7,G,E,A,C,E,x
Am7b5 1,2,x,3,4,1,x,1;b3;b5;b7,A,G,C,Eb,x,x
Am9 1,x,0,2,4,1,3,1;b3;5;b7;9,A,E,B,C,G,x
Am9 2,x,0,1,1,1,3,1;b3;5;b7;9,A,G,C,E,B,x
Am9 3,x,2,1,3,4,0,1;b3;5;b7;9,A,C,G,B,E,x
Am9 4,x,x,2,1,4,3,1;b3;5;b7;9,A,C,G,B,x,x
Am9 5,x,2,1,3,4,x,1;b3;5;b7;9,A,C,G,B,x,x
Am9 6,x,0,3,4,0,0,1;b3;5;b7;9,A,G,C,B,E,x
Am9 7,x,0,2,0,0,0,1;b3;5;b7;9,A,E,G,B,E,x
Am9 8,4,2,1,0,0,x,1;b3;5;b7;9,A,C,E,G,B,x
Am9 9,x,0,1,1,4,3,1;b3;5;b7;9,A,G,C,G,B,x
Am9 10,1,3,1,1,1,4,1;b3;5;b7;9,A,E,G,C,E,B
Amaj 1,1,3,4,2,1,1,1;3;5,A,E,A,C#,E,A
Amaj 2,x,4,3,1,2,1,1;3;5,A,C#,E,A,C#,x
Amaj 3,0,3,x,1,4,0,1;3;5,E,C#,A,E,E,x
Amaj 4,x,1,4,x,x,2,1;3;5,C#,A,A,x,x,x
Amaj 5,x,0,1,1,1,4,1;3;5,A,E,A,C#,A,x
Amaj 6,x,0,3,2,1,0,1;3;5,A,A,C#,E,E,x
Amaj 7,x,x,x,1,3,2,1;3;5,E,A,C#,x,x,x
Amaj 8,x,0,1,1,1,x,1;3;5,A,E,A,C#,x,x
Amaj 9,x,x,x,2,1,0,1;3;5,C#,E,E,x,x,x
Amaj 10,x,0,3,2,1,1,1;3;5,A,A,C#,E,A,x
Amaj 11,x,0,1,3,4,2,1;3;5,A,A,E,A,C#,x
Amaj 12,x,3,1,1,1,x,1;3;5,C#,E,A,C#,x,x
Amaj 13,2,1,x,x,x,x,1;3;5,A,C#,x,x,x,x
Amaj 14,x,1,3,3,3,1,1;3;5,A,E,A,C#,E,x
Amaj 15,x,x,3,1,2,x,1;3;5,C#,E,A,x,x,x
Amaj 16,x,3,4,2,1,1,1;3;5,E,A,C#,E,A,x
Amaj 17,x,x,3,2,1,x,1;3;5,A,C#,E,x,x,x
Amaj13 1,1,x,2,3,4,x,1;3;5;7;9;11;13,A,G#,C#,F#,x,x
Amaj13 2,x,0,4,1,3,0,1;3;5;7;9;11;13,A,F#,G#,C#,E,x
Amaj7 1,x,0,2,1,3,0,1;3;5;7,A,E,G#,C#,E,x
Amaj7 2,x,0,4,3,2,1,1;3;5;7,A,A,C#,E,G#,x
Amaj7 3,x,4,3,1,1,1,1;3;5;7,A,C#,E,G#,C#,x
Amaj7 4,1,x,3,4,2,x,1;3;5;7,A,G#,C#,E,x,x
Amaj7 5,x,3,4,1,2,0,1;3;5;7,G#,C#,E,A,E,x
Amaj7 6,x,x,x,1,1,3,1;3;5;7,A,C#,G#,x,x,x
Amaj9 1,x,0,2,1,0,0,1;3;5;7;9,A,E,G#,B,E,x
Amaj9 2,2,1,4,1,3,x,1;3;5;7;9,A,C#,G#,B,E,x
Amaj9 3,x,2,1,4,3,0,1;3;5;7;9,A,C#,G#,B,E,x
Amaj9 4,x,0,1,3,1,4,1;3;5;7;9,A,E,B,C#,G#,x
Amajm 1,0,0,1,2,3,0,1;3;5,A,E,A,C#,E,x
Asus2 1,x,0,2,3,0,0,1;2;5,A,E,A,B,E,x
Asus2 2,0,0,1,4,0,0,1;2;5,E,A,E,B,B,E
Asus2 3,x,0,1,3,4,1,1;2;5,A,A,E,A,B,x
Asus2 4,x,0,2,3,0,x,1;2;5,A,E,A,B,x,x
Asus4 1,x,0,1,1,2,0,1;4;5,A,E,A,D,E,x
Asus4 2,x,0,3,4,1,1,1;4;5,A,A,D,E,A,x
Asus4 3,x,0,1,2,3,4,1;4;5,A,A,E,A,D,x
Asus4 4,x,0,1,1,2,x,1;4;5,A,E,A,D,x,x
A#5 1,1,3,x,x,x,x,1;5,A#,E#,x,x,x,x
A#6 1,x,1,3,3,3,3,1;3;5;6,A#,E#,A#,C##,F##,x
A#6 2,1,x,3,2,4,1,1;3;5;6,A#,A#,C##,F##,A#,x
A#6 3,x,x,1,3,1,4,1;3;5;6,A#,E#,F##,C##,x,x
A#7 1,x,1,3,1,4,1,1;3;5;b7,A#,E#,G#,C##,E#,x
A#7 2,1,3,1,2,4,1,1;3;5;b7,A#,E#,G#,C##,G#,A#
A#7 3,x,x,1,3,2,4,1;3;5;b7,A#,E#,G#,C##,x,x
A#9 1,x,2,0,3,4,x,1;3;5;b7;9,A#,C##,G#,B#,x,x
A#9 2,x,1,3,2,4,x,1;3;5;b7;9,C##,G#,B#,E#,x,x
A#9 3,1,x,1,2,1,4,1;3;5;b7;9,A#,G#,C##,E#,B#,x
A#11 1,x,1,1,1,1,1,1;3;5;b7;9;11,A#,D#,G#,B#,E#,x
A#11 2,3,x,4,2,1,1,1;3;5;b7;9;11,A#,G#,B#,D#,G#,x
A#11 3,x,x,1,1,2,1,1;3;5;b7;9;11,A#,D#,G#,B#,x,x
A#13 1,x,1,0,2,3,4,1;3;5;b7;9;11;13,A#,C##,G#,B#,F##,x
A#13 2,4,x,3,2,1,1,1;3;5;b7;9;11;13,A#,G#,B#,C##,F##,x
A#13 3,1,x,1,2,3,4,1;3;5;b7;9;11;13,A#,G#,C##,F##,B#,x
A#43991 1,x,1,0,0,2,3,1;3;5;6;9,A#,C##,F##,B#,E#,x
A#43991 2,2,1,1,1,3,4,1;3;5;6;9,A#,C##,F##,B#,E#,A#
A#43991 3,x,x,2,1,3,4,1;3;5;6;9,A#,C##,F##,B#,x,x
A#7(#5) 1,x,1,4,1,3,2,1;3;#5;b7,A#,E##,G#,C##,E##,x
A#7(#5) 2,1,x,1,2,3,1,1;3;#5;b7,A#,G#,C##,E##,A#,x
A#7(#5) 3,x,1,2,1,1,x,1;3;#5;b7,G#,C##,E##,A#,x,x
A#7(#9) 1,x,1,0,2,4,3,1;3;5;b7;#9,A#,C##,G#,B##,E#,x
A#7(#9) 2,2,1,3,3,3,x,1;3;5;b7;#9,A#,C##,G#,B##,E#,x
A#7(#9) 3,1,3,1,2,1,4,1;3;5;b7;#9,A#,E#,G#,C##,E#,B##
A#7(b9) 1,x,1,0,2,x,3,1;3;5;b7;b9,A#,C##,G#,E#,x,x
A#7(b9) 2,3,2,4,1,x,x,1;3;5;b7;b9,A#,C##,G#,B,x,x
A#7(b9) 3,1,x,1,2,1,3,1;3;5;b7;b9,A#,G#,C##,E#,B,x
A#7b5 1,x,1,2,1,3,x,1;3;b5;b7,A#,E,G#,C##,x,x
A#7b5 2,x,x,2,4,1,3,1;3;b5;b7,G#,C##,E,A#,x,x
A#7b5 3,x,x,1,2,3,4,1;3;b5;b7,A#,E,G#,C##,x,x
A#7sus4 1,x,1,3,1,4,1,1;4;5;b7,A#,E#,G#,D#,E#,x
A#7sus4 2,1,3,1,4,1,1,1;4;5;b7,A#,E#,G#,D#,E#,A#
A#7sus4 3,x,x,1,3,2,4,1;4;5;b7,A#,E#,G#,D#,x,x
A#9b5 1,0,1,0,2,3,0,1;3;b5;b7;9,E,A#,C##,G#,B#,E
A#9b5 2,2,1,3,1,1,4,1;3;b5;b7;9,A#,C##,G#,B#,E,A#
A#9b5 3,x,x,1,2,3,1,1;3;b5;b7;9,A#,E,G#,B#,x,x
A#aug 1,x,3,2,1,1,x,1;3;#5,C##,E##,A#,C##,x,x
A#aug 2,4,3,2,1,x,x,1;3;#5,A#,C##,E##,A#,x,x
A#aug 3,x,x,4,2,3,1,1;3;#5,C##,E##,A#,C##,x,x
A#dim 1,x,1,2,3,4,x,1;b3;b5,A#,E,A#,C#,x,x
A#dim 2,x,x,4,3,1,2,1;b3;b5,A#,C#,E,A#,x,x
A#dim 3,1,2,3,1,x,x,1;b3;b5,A#,E,A#,C#,x,x
A#dim7 1,2,4,1,3,x,x,1;b3;b5;bb7,G,C#,E,A#,x,x
A#dim7 2,x,2,3,1,4,x,1;b3;b5;bb7,C#,G,A#,E,x,x
A#dim7 3,x,x,1,3,2,4,1;b3;b5;bb7,A#,E,G,C#,x,x
A#dim7 4,x,1,2,0,3,x,1;b3;b5;bb7,A#,E,G,C#,x,x
A#dim7 5,2,x,1,3,x,x,1;b3;b5;bb7,A#,G,C#,x,x,x
A#dim7 6,2,x,1,3,x,x,1;b3;b5;bb7,C#,A#,E,x,x,x
A#dim7 7,3,x,1,4,2,x,1;b3;b5;bb7,A#,G,C#,E,x,x
A#dim7 8,x,2,3,1,4,x,1;b3;b5;bb7,E,A#,C#,G,x,x
A#m 1,x,1,3,4,2,1,1;b3;5,A#,E#,A#,C#,E#,x
A#m 2,1,3,4,1,1,1,1;b3;5,A#,E#,A#,C#,E#,A#
A#m 3,x,x,1,3,4,2,1;b3;5,A#,E#,A#,C#,x,x
A#m 4,x,x,3,1,1,x,1;b3;5,A#,C#,E#,x,x,x
A#m6 1,x,1,3,0,2,4,1;b3;5;6,A#,E#,F##,C#,F##,x
A#m6 2,1,x,3,1,4,1,1;b3;5;6,A#,A#,C#,F##,A#,x
A#m6 3,x,x,1,3,1,2,1;b3;5;6,A#,E#,F##,C#,x,x
A#m7 1,x,1,3,1,2,1,1;b3;5;b7,A#,E#,G#,C#,E#,x
A#m7 2,1,3,1,1,4,1,1;b3;5;b7,A#,E#,G#,C#,G#,A#
A#m7 3,x,x,1,4,2,3,1;b3;5;b7,A#,E#,G#,C#,x,x
A#m9 1,3,1,4,2,x,x,1;b3;5;b7;9,A#,C#,G#,B#,x,x
A#m9 2,1,3,1,1,1,4,1;b3;5;b7;9,A#,E#,G#,C#,E#,B#
A#m9 3,x,2,1,3,4,x,1;b3;5;b7;9,A#,C#,G#,B#,x,x
A#maj 1,x,1,3,3,3,x,1;3;5,A#,E#,A#,C##,x,x
A#maj 2,1,3,4,2,1,1,1;3;5,A#,E#,A#,C##,E#,A#
A#maj 3,x,4,3,1,2,1,1;3;5,A#,C##,E#,A#,C##,x
A#maj7 1,x,1,3,2,4,1,1;3;5;7,A#,E#,G##,C##,E#,x
A#maj7 2,1,4,2,3,1,x,1;3;5;7,A#,E#,G##,C##,E#,x
A#maj7 3,x,4,3,1,1,1,1;3;5;7,A#,C##,E#,G##,C##,x
A#maj9 1,x,1,0,4,2,3,1;3;5;7;9,A#,C##,G##,B#,E#,x
A#maj9 2,2,1,4,1,x,x,1;3;5;7;9,A#,C##,G##,B#,x,x
A#maj9 3,x,x,4,1,2,1,1;3;5;7;9,A#,B#,E#,G##,x,x
A#sus4 1,x,1,2,3,4,1,1;4;5,A#,E#,A#,D#,E#,x
A#sus4 2,x,x,1,1,2,4,1;4;5,E#,A#,D#,A#,x,x
A#sus4 3,1,1,3,4,1,1,1;4;5,A#,D#,A#,D#,E#,A#
Ab5 1,1,3,x,x,x,x,1;5,Ab,Eb,x,x,x,x
Ab5 2,1,3,4,x,x,x,1;5,Ab,Eb,Ab,x,x,x
Ab5 3,x,1,1,x,x,x,1;5,Eb,Ab,x,x,x,x
Ab5 4,x,1,3,4,x,x,1;5,Ab,Eb,Ab,x,x,x
Ab6 1,x,x,1,1,1,1,1;3;5;6,Eb,Ab,C,F,x,x
Ab6 2,1,x,3,2,4,1,1;3;5;6,Ab,Ab,C,F,Ab,x
Ab6 3,x,4,2,3,1,x,1;3;5;6,Ab,C,F,Ab,x,x
Ab6 4,x,x,3,2,4,1,1;3;5;6,Ab,C,F,Ab,x,x
Ab6 5,2,x,1,4,x,x,1;3;5;6,Ab,F,C,x,x,x
Ab6 6,1,x,x,3,4,x,1;3;5;6,Ab,C,F,x,x,x
Ab6 7,x,x,1,3,1,4,1;3;5;6,Ab,Eb,F,C,x,x
Ab7 1,x,x,1,1,1,2,1;3;5;b7,Eb,Ab,C,Gb,x,x
Ab7 2,1,3,1,2,4,1,1;3;5;b7,Ab,Eb,Gb,C,Gb,Ab
Ab7 3,x,1,3,1,4,1,1;3;5;b7,Ab,Eb,Gb,C,Eb,x
Ab7 4,x,x,x,2,1,3,1;3;5;b7,Eb,Gb,C,x,x,x
Ab7 5,1,3,1,2,1,1,1;3;5;b7,Ab,Eb,Gb,C,Eb,Ab
Ab7 6,1,x,2,3,x,x,1;3;5;b7,Ab,Gb,C,x,x,x
Ab7 7,x,2,1,3,x,x,1;3;5;b7,Ab,C,Gb,x,x,x
Ab7 8,x,x,1,3,2,4,1;3;5;b7,Ab,Eb,Gb,C,x,x
