Root,Type,Type 2,E,A,D,G,B,E-2,Structure,Note1,Note2,Note3,Note4,Note5,Note6
A#,9-Jun,,2,1,1,1,3,4,1;3;5;6;9,A#,C##,F##,B#,E#,A#
A#,9-Jun,,x,x,2,1,3,4,1;3;5;6;9,A#,C##,F##,B#,,
C#,13,,x,2,1,3,3,4,1;3;5;b7;9;11;13,C#,E#,B,D#,A#,
C#,13,,3,x,4,2,1,1,1;3;5;b7;9;11;13,C#,B,D#,E#,A#,
C#,13,,1,x,1,2,3,4,1;3;5;b7;9;11;13,C#,B,E#,A#,D#,
C#,7(#9),,x,2,1,3,4,x,1;3;5;b7;#9,C#,E#,B,D##,,
C#,7(#9),,2,1,3,3,3,x,1;3;5;b7;#9,C#,E#,B,D##,G#,
C#,7(#9),,1,3,1,2,1,4,1;3;5;b7;#9,C#,G#,B,E#,G#,D##
C#,9,,x,2,1,3,4,x,1;3;5;b7;9,C#,E#,B,D#,,
C#,9,,x,1,3,2,4,x,1;3;5;b7;9,E#,B,D#,G#,,
C#,9,,x,x,2,1,3,4,1;3;5;b7;9,B,D#,G#,C#,,
C#,9,,x,2,1,3,3,3,1;3;5;b7;9,C#,E#,B,D#,G#,
C#,9,,x,x,3,2,1,4,1;3;5;b7;9,B,D#,E#,C#,,
C#,9b5,,1,2,1,3,4,1,1;3;b5;b7;9,G,C#,E#,B,D#,G
C#,9b5,,2,1,3,1,1,4,1;3;b5;b7;9,C#,E#,B,D#,G,C#
C#,9b5,,x,x,1,2,3,1,1;3;b5;b7;9,C#,G,B,D#,,
C#,7,,x,3,2,4,1,x,1;3;5;b7,C#,E#,B,C#,,
C#,7,,x,1,3,1,4,1,1;3;5;b7,C#,G#,B,E#,G#,
C#,7,,1,3,1,2,4,1,1;3;5;b7,C#,G#,B,E#,B,C#
C#,7,,x,x,2,3,1,4,1;3;5;b7,E#,B,C#,G#,,
C#,7,,x,2,1,3,0,4,1;3;5;b7,C#,E#,B,B,G#,
C#,7,,2,x,3,4,1,x,1;3;5;b7,G#,E#,B,C#,,
C#,7,,1,3,1,2,1,1,1;3;5;b7,C#,G#,B,E#,G#,C#
C#,7,,x,2,1,3,x,x,1;3;5;b7,C#,E#,B,,,
C#,7,,1,x,1,2,x,x,1;3;5;b7,C#,B,E#,,,
C#,7,,x,x,1,1,1,2,1;3;5;b7,G#,C#,E#,B,,
C#,7,,x,x,1,3,2,4,1;3;5;b7,C#,G#,B,E#,,
C#,dim7,,2,4,1,3,x,x,1;b3;b5;bb7,G,C#,E,Bb,,
C#,dim7,,x,2,3,1,4,x,1;b3;b5;bb7,E,Bb,C#,G,,
C#,dim7,,x,x,1,3,2,4,1;b3;b5;bb7,C#,G,Bb,E,,
C#,dim7,,x,2,3,1,4,x,1;b3;b5;bb7,C#,G,Bb,E,,
C#,dim7,,x,x,1,3,2,4,1;b3;b5;bb7,G,C#,E,Bb,,
C#,dim7,,x,x,1,3,2,4,1;b3;b5;bb7,Bb,E,G,C#,,
C#,dim7,,2,x,1,3,x,x,1;b3;b5;bb7,C#,Bb,E,,,
C#,dim7,,x,x,1,3,2,4,1;b3;b5;bb7,E,Bb,C#,G,,
C#,dim7,,3,x,1,4,2,x,1;b3;b5;bb7,G,E,Bb,C#,,
C#,dim7,,x,3,1,2,x,x,1;b3;b5;bb7,C#,E,Bb,,,
C#,dim7,,x,2,3,1,4,1,1;b3;b5;bb7,C#,G,Bb,E,G,
C#,aug,,x,3,2,1,1,x,1;3;#5,C#,E#,G##,C#,,
C#,aug,,4,3,2,1,x,x,1;3;#5,G##,C#,E#,G##,,
C#,aug,,x,x,4,2,3,1,1;3;#5,C#,E#,G##,C#,,
C#,maj,,x,4,3,1,2,1,1;3;5,C#,E#,G#,C#,E#,
C#,maj,,x,1,3,3,3,x,1;3;5,C#,G#,C#,E#,,
C#,maj,,1,3,4,2,1,1,1;3;5,C#,G#,C#,E#,G#,C#
C#,maj,,x,x,3,3,3,x,1;3;5,G#,C#,E#,,,
C#,maj,,x,1,2,3,4,1,1;3;5,C#,G#,C#,E#,G#,
C#,11,,x,1,1,1,1,1,1;3;5;b7;9;11,C#,F#,B,D#,G#,
C#,11,,4,x,3,2,1,1,1;3;5;b7;9;11,C#,B,D#,F#,B,
C#,11,,x,x,1,1,2,1,1;3;5;b7;9;11,C#,F#,B,D#,,
C#,maj9,,x,2,1,4,3,x,1;3;5;7;9,C#,E#,B#,D#,,
C#,maj9,,2,1,3,1,x,x,1;3;5;7;9,C#,E#,B#,D#,,
C#,maj9,,x,x,4,1,2,1,1;3;5;7;9,C#,D#,G#,B#,,
C#,m11,,x,1,1,1,2,1,1;b3;5;b7;9;11,C#,F#,B,E,G#,
C#,m11,,2,x,3,4,1,x,1;b3;5;b7;9;11,C#,B,E,F#,,
C#,m11,,0,1,1,1,2,1,1;b3;5;b7;9;11,E,C#,F#,B,E,G#
C#,m11,,x,1,1,1,2,x,1;b3;5;b7;9;11,C#,F#,B,E,,
C#,m11,,x,2,1,3,1,1,1;b3;5;b7;9;11,C#,E,B,C#,F#,
C#,m11,,x,2,1,3,4,1,1;b3;5;b7;9;11,C#,E,B,D#,F#,
C#,m11,,2,x,3,4,1,1,1;b3;5;b7;9;11,C#,B,E,F#,B,
C#,m7b5,,x,3,1,0,0,0,1;b3;b5;b7,C#,E,G,B,E,
C#,m7b5,,x,1,3,2,4,0,1;b3;b5;b7,C#,G,B,E,E,
C#,m7b5,,2,x,3,4,1,x,1;b3;b5;b7,C#,B,E,G,,
C#,m7b5,,x,1,3,2,4,x,1;b3;b5;b7,C#,G,B,E,,
C#,m7b5,,x,x,1,3,3,3,1;b3;b5;b7,C#,G,B,E,,
C#,m7b5,,x,1,3,2,4,x,1;b3;b5;b7,C#,G,B,E,,
C#,m,,x,1,3,4,2,1,1;b3;5,C#,G#,C#,E,G#,
C#,m,,1,3,4,1,1,1,1;b3;5,C#,G#,C#,E,G#,C#
C#,m,,x,x,1,3,4,2,1;b3;5,C#,G#,C#,E,,
C#,m,,x,1,3,4,2,x,1;b3;5,C#,G#,C#,E,,
C#,m,,x,3,4,1,1,x,1;b3;5,G#,C#,E,G#,,
C#,m,,x,3,1,x,x,x,1;b3;5,C#,E,,,,
C#,m,,3,1,x,x,x,x,1;b3;5,C#,E,,,,
C#,m,,x,x,3,1,1,1,1;b3;5,C#,E,G#,C#,,
C#,7b5,,x,1,2,1,3,x,1;3;b5;b7,C#,G,B,E#,,
C#,7b5,,x,x,2,4,1,3,1;3;b5;b7,B,E#,G,C#,,
C#,7b5,,1,3,2,4,x,x,1;3;b5;b7,C#,G,B,E#,,
C#,9(#11),,x,2,1,3,4,1,1;3;5;b7;9;#11,C#,E#,B,D#,F##,
C#,m7,,x,3,1,4,1,x,1;b3;5;b7,C#,E,B,C#,,
C#,m7,,x,1,3,1,2,1,1;b3;5;b7,C#,G#,B,E,G#,
C#,m7,,1,3,1,1,4,1,1;b3;5;b7,C#,G#,B,E,B,C#
C#,m7,,1,3,1,1,1,1,1;b3;5;b7,C#,G#,B,E,G#,C#
C#,m7,,2,x,3,3,x,x,1;b3;5;b7,C#,B,E,,,
C#,m7,,x,2,1,3,x,x,1;b3;5;b7,C#,E,B,,,
C#,m7,,2,x,3,3,3,x,1;b3;5;b7,C#,B,E,G#,,
C#,m7,,x,1,x,2,4,3,1;b3;5;b7,C#,B,E,G#,,
C#,m7,,2,1,3,4,0,0,1;b3;5;b7,C#,E,B,E,B,E
C#,m7,,x,2,1,3,4,x,1;b3;5;b7,C#,E,B,E,,
C#,m7,,x,1,3,1,2,x,1;b3;5;b7,C#,G#,B,E,,
C#,m7,,x,1,3,4,0,0,1;b3;5;b7,C#,G#,C#,B,E,
C#,m7,,x,1,x,1,2,4,1;b3;5;b7,C#,B,E,B,,
C#,m7,,x,1,x,2,3,x,1;b3;5;b7,C#,B,E,,,
C#,m7,,1,1,3,4,0,0,1;b3;5;b7,G#,C#,G#,C#,B,E
C#,m7,,x,3,x,x,0,0,1;b3;5;b7,C#,B,E,,,
C#,m7,,1,x,1,1,1,1,1;b3;5;b7,C#,B,E,G#,C#,
C#,dim,,x,1,2,4,3,x,1;b3;b5,C#,G,C#,E,,
C#,dim,,x,x,4,3,1,2,1;b3;b5,C#,E,G,C#,,
C#,dim,,1,2,3,1,x,x,1;b3;b5,C#,G,C#,E,,
C#,dim,,x,2,x,0,x,1,1;b3;b5,C#,G,G,,,
C#,dim,,x,3,1,x,x,x,1;b3;b5,C#,E,,,,
C#,6,,x,4,2,3,1,x,1;3;5;6,C#,E#,A#,C#,,
C#,6,,x,1,3,3,3,3,1;3;5;6,C#,G#,C#,E#,A#,
C#,6,,1,x,3,2,4,1,1;3;5;6,C#,C#,E#,A#,C#,
C#,7(#5),,x,1,2,1,1,x,1;3;#5;b7,B,E#,G##,C#,,
C#,7(#5),,x,1,4,1,3,2,1;3;#5;b7,C#,G##,B,E#,G##,
C#,7(#5),,1,x,1,2,3,1,1;3;#5;b7,C#,B,E#,G##,C#,
C#,7sus4,,x,2,3,4,1,x,1;4;5;b7,C#,F#,B,C#,,
C#,7sus4,,x,1,3,1,4,1,1;4;5;b7,C#,G#,B,F#,G#,
C#,7sus4,,1,3,1,4,1,1,1;4;5;b7,C#,G#,B,F#,G#,C#
C#,7sus4,,1,x,1,4,x,x,1;4;5;b7,C#,B,F#,,,
C#,maj7,,x,4,3,1,1,1,1;3;5;7,C#,E#,G#,B#,E#,
C#,maj7,,x,1,3,2,4,1,1;3;5;7,C#,G#,B#,E#,G#,
C#,maj7,,x,x,4,3,2,1,1;3;5;7,C#,E#,G#,B#,,
C#,5,,x,1,3,x,x,x,1;5,C#,G#,,,,
C#,5,,x,1,3,4,x,x,1;5,C#,G#,C#,,,
C#,5,,1,1,3,x,x,x,1;5,G#,C#,G#,,,
C#,5,,1,3,4,x,x,x,1;5,C#,G#,C#,,,
C#,5,,x,x,1,3,4,x,1;5,C#,G#,C#,,,
C#,m6,,x,3,1,2,1,x,1;b3;5;6,C#,E,A#,C#,,
C#,m6,,x,1,x,3,2,4,1;b3;5;6,C#,C#,E,A#,,
C#,m6,,1,x,3,1,4,1,1;b3;5;6,C#,C#,E,A#,C#,
C#,m6,,3,1,2,x,x,x,1;b3;5;6,C#,E,A#,,,
C#,7(b9),,x,2,1,3,1,x,1;3;5;b7;b9,C#,E#,B,D,,
C#,7(b9),,3,2,4,1,x,x,1;3;5;b7;b9,C#,E#,B,D,,
C#,7(b9),,1,x,1,2,1,3,1;3;5;b7;b9,C#,B,E#,G#,D,
C#,m9,,x,2,1,3,4,x,1;b3;5;b7;9,C#,E,B,D#,,
C#,m9,,3,1,4,2,x,x,1;b3;5;b7;9,C#,E,B,D#,,
C#,m9,,1,3,1,1,1,4,1;b3;5;b7;9,C#,G#,B,E,G#,D#
C#,m9,,x,x,1,1,1,4,1;b3;5;b7;9,B,E,G#,D#,,
C#,m9,,2,x,1,3,4,x,1;b3;5;b7;9,G#,E,B,D#,,
C#,m9,,1,x,1,1,1,4,1;b3;5;b7;9,C#,B,E,G#,D#,
C#,sus4,,x,1,2,3,4,1,1;4;5,C#,G#,C#,F#,G#,
C#,sus4,,x,x,1,1,2,4,1;4;5,G#,C#,F#,C#,,
C#,sus4,,1,1,3,4,1,1,1;4;5,C#,F#,C#,F#,G#,C#
C#,9-Jun,,x,2,1,1,3,4,1;3;5;6;9,C#,E#,A#,D#,G#,
C#,9-Jun,,2,1,1,1,3,4,1;3;5;6;9,C#,E#,A#,D#,G#,C#
C#,9-Jun,,x,x,2,1,3,4,1;3;5;6;9,C#,E#,A#,D#,,
D#,13,,x,2,1,3,3,4,1;3;5;b7;9;11;13,D#,F##,C#,E#,B#,
D#,13,,3,x,4,2,1,1,1;3;5;b7;9;11;13,D#,C#,E#,F##,B#,
D#,13,,1,x,1,2,3,4,1;3;5;b7;9;11;13,D#,C#,F##,B#,E#,
D#,7(#9),,x,x,1,0,3,4,1;3;5;b7;#9,D#,F##,C#,E##,,
D#,7(#9),,x,2,1,3,4,x,1;3;5;b7;#9,D#,F##,C#,E##,,
D#,7(#9),,1,3,1,2,1,4,1;3;5;b7;#9,D#,A#,C#,F##,A#,E##
D#,9,,x,2,1,3,4,x,1;3;5;b7;9,D#,F##,C#,E#,,
D#,9,,x,1,3,2,4,x,1;3;5;b7;9,F##,C#,E#,A#,,
D#,9,,x,x,2,1,3,4,1;3;5;b7;9,C#,E#,A#,D#,,
D#,9b5,,x,x,1,2,3,1,1;3;b5;b7;9,D#,A,C#,E#,,
D#,9b5,,1,2,1,3,4,1,1;3;b5;b7;9,A,D#,F##,C#,E#,A
D#,9b5,,2,1,3,1,1,4,1;3;b5;b7;9,D#,F##,C#,E#,A,D#
D#,7,,x,3,2,4,1,x,1;3;5;b7,D#,F##,C#,D#,,
D#,7,,x,1,3,1,4,1,1;3;5;b7,D#,A#,C#,F##,A#,
D#,7,,1,3,1,2,4,1,1;3;5;b7,D#,A#,C#,F##,C#,D#
D#,7,,x,2,1,3,x,x,1;3;5;b7,D#,F##,C#,,,
D#,dim7,,2,4,1,3,x,x,1;b3;b5;bb7,A,D#,F#,C,,
D#,dim7,,x,2,3,1,4,x,1;b3;b5;bb7,F#,C,D#,A,,
D#,dim7,,x,x,1,3,2,4,1;b3;b5;bb7,C,F#,A,D#,,
D#,dim7,,x,2,3,1,4,x,1;b3;b5;bb7,D#,A,C,F#,,
D#,dim7,,x,x,1,3,2,4,1;b3;b5;bb7,D#,A,C,F#,,
D#,dim7,,x,2,3,1,4,1,1;b3;b5;bb7,D#,A,C,F#,A,
D#,dim7,,x,x,1,3,2,4,1;b3;b5;bb7,F#,C,D#,A,,
D#,dim7,,x,x,1,3,2,4,1;b3;b5;bb7,A,D#,F#,C,,
D#,dim7,,3,x,1,4,2,x,1;b3;b5;bb7,D#,C,F#,A,,
D#,dim7,,x,0,1,3,2,4,1;b3;b5;bb7,A,F#,C,D#,A,
D#,dim7,,x,0,1,3,2,4,1;b3;b5;bb7,A,D#,A,C,F#,
D#,aug,,x,3,2,0,0,x,1;3;#5,A##,D#,F##,A##,,
D#,aug,,4,3,2,0,x,x,1;3;#5,F##,A##,D#,F##,,
D#,aug,,x,x,4,2,3,1,1;3;#5,D#,F##,A##,D#,,
D#,maj,,x,4,3,1,2,1,1;3;5,D#,F##,A#,D#,F##,
D#,maj,,x,1,3,3,3,x,1;3;5,D#,A#,D#,F##,,
D#,maj,,1,3,4,2,1,1,1;3;5,D#,A#,D#,F##,A#,D#
D#,11,,x,x,1,1,2,1,1;3;5;b7;9;11,D#,G#,C#,E#,,
D#,11,,x,1,1,1,1,1,1;3;5;b7;9;11,D#,G#,C#,E#,A#,
D#,11,,4,x,3,2,1,1,1;3;5;b7;9;11,D#,C#,E#,G#,C#,
D#,maj9,,x,x,1,0,4,2,1;3;5;7;9,D#,F##,C##,E#,,
D#,maj9,,x,2,1,4,3,x,1;3;5;7;9,D#,F##,C##,E#,,
D#,maj9,,x,x,4,1,2,1,1;3;5;7;9,D#,E#,A#,C##,,
D#,m11,,x,1,1,1,2,1,1;b3;5;b7;9;11,D#,G#,C#,F#,A#,
D#,m,,x,x,3,2,4,1,1;b3;5,F#,A#,D#,F#,,
D#,m,,x,1,3,4,2,1,1;b3;5,D#,A#,D#,F#,A#,
D#,m,,1,3,4,1,1,1,1;b3;5,D#,A#,D#,F#,A#,D#
D#,7b5,,x,x,1,2,3,4,1;3;b5;b7,D#,A,C#,F##,,
D#,7b5,,x,1,2,1,3,x,1;3;b5;b7,D#,A,C#,F##,,
D#,7b5,,x,x,2,4,1,3,1;3;b5;b7,C#,F##,A,D#,,
D#,m7,,x,3,1,4,1,x,1;b3;5;b7,D#,F#,C#,D#,,
D#,m7,,x,1,3,1,2,1,1;b3;5;b7,D#,A#,C#,F#,A#,
D#,m7,,1,3,1,1,4,1,1;b3;5;b7,D#,A#,C#,F#,C#,D#
D#,dim,,x,x,1,2,3,4,1;b3;b5,D#,A,D#,F#,,
D#,dim,,x,1,2,3,4,x,1;b3;b5,D#,A,D#,F#,,
D#,dim,,x,x,4,3,1,2,1;b3;b5,D#,F#,A,D#,,
D#,6,,x,4,2,3,1,x,1;3;5;6,D#,F##,B#,D#,,
D#,6,,x,1,3,3,3,3,1;3;5;6,D#,A#,D#,F##,B#,
D#,6,,1,x,3,2,4,1,1;3;5;6,D#,D#,F##,B#,D#,
D#,7(#5),,x,1,2,1,1,x,1;3;#5;b7,C#,F##,A##,D#,,
D#,7(#5),,x,1,4,1,3,2,1;3;#5;b7,D#,A##,C#,F##,A##,
D#,7(#5),,1,x,1,2,3,1,1;3;#5;b7,D#,C#,F##,A##,D#,
D#,7sus4,,x,2,3,4,1,x,1;4;5;b7,D#,G#,C#,D#,,
D#,7sus4,,x,1,3,1,4,1,1;4;5;b7,D#,A#,C#,G#,A#,
D#,7sus4,,1,3,1,4,1,1,1;4;5;b7,D#,A#,C#,G#,A#,D#
D#,maj7,,x,4,3,1,1,1,1;3;5;7,D#,F##,A#,C##,F##,
D#,maj7,,x,1,3,2,4,1,1;3;5;7,D#,A#,C##,F##,A#,
D#,maj7,,x,x,4,3,2,1,1;3;5;7,D#,F##,A#,C##,,
D#,5,,x,1,3,4,x,x,1;5,D#,A#,D#,,,
D#,5,,x,1,3,x,x,x,1;5,D#,A#,,,,
D#,5,,1,1,3,x,x,x,1;5,A#,D#,A#,,,
D#,m6,,x,3,1,2,1,x,1;b3;5;6,D#,F#,B#,D#,,
D#,m6,,x,1,x,3,2,4,1;b3;5;6,D#,D#,F#,B#,,
D#,m6,,1,x,3,1,4,1,1;b3;5;6,D#,D#,F#,B#,D#,
D#,7(b9),,x,x,1,0,3,0,1;3;5;b7;b9,D#,F##,C#,E,,
D#,7(b9),,x,2,1,3,1,x,1;3;5;b7;b9,D#,F##,C#,E,,
D#,7(b9),,1,x,1,2,1,3,1;3;5;b7;b9,D#,C#,F##,A#,E,
D#,m9,,x,2,1,3,4,x,1;b3;5;b7;9,D#,F#,C#,E#,,
D#,m9,,3,1,4,2,x,x,1;b3;5;b7;9,D#,F#,C#,E#,,
D#,m9,,1,3,1,1,1,4,1;b3;5;b7;9,D#,A#,C#,F#,A#,E#
D#,sus4,,x,3,4,1,2,x,1;4;5,D#,G#,A#,D#,,
D#,sus4,,x,1,2,3,4,1,1;4;5,D#,A#,D#,G#,A#,
D#,sus4,,1,1,3,4,1,1,1;4;5,D#,G#,D#,G#,A#,D#
D#,9-Jun,,x,x,1,0,2,3,1;3;5;6;9,D#,F##,B#,E#,,
D#,9-Jun,,x,2,1,1,3,4,1;3;5;6;9,D#,F##,B#,E#,A#,
D#,9-Jun,,2,1,1,1,3,4,1;3;5;6;9,D#,F##,B#,E#,A#,D#
F#,9(#5),,x,1,2,1,1,x,1;3;#5;b7;9,E,A#,C##,F#,,
F#,13,,1,x,1,2,3,4,1;3;5;b7;9;11;13,F#,E,A#,D#,G#,
F#,13,,x,2,1,3,3,4,1;3;5;b7;9;11;13,F#,A#,E,G#,D#,
F#,13,,x,1,3,1,1,4,1;3;5;b7;9;11;13,F#,C#,E,G#,D#,
F#,13,,1,x,2,3,4,x,1;3;5;b7;9;11;13,F#,E,A#,D#,,
F#,13,,x,1,3,4,2,x,1;3;5;b7;9;11;13,E,A#,D#,F#,,
F#,13,,x,x,1,2,2,4,1;3;5;b7;9;11;13,A#,E,G#,D#,,
F#,7(#9),,2,1,3,3,3,3,1;3;5;b7;#9,F#,A#,E,G##,C#,F#
F#,7(#9),,1,3,1,2,1,4,1;3;5;b7;#9,F#,C#,E,A#,C#,G##
F#,7(#9),,x,2,1,3,4,x,1;3;5;b7;#9,F#,A#,E,G##,,
F#,9,,x,x,2,1,3,4,1;3;5;b7;9,E,G#,C#,F#,,
F#,9,,x,x,1,3,2,1,1;3;5;b7;9,F#,C#,E,G#,,
F#,9,,x,2,1,3,4,x,1;3;5;b7;9,F#,A#,E,G#,,
F#,9,,x,2,1,3,3,3,1;3;5;b7;9,F#,A#,E,G#,C#,
F#,9,,x,x,3,2,1,4,1;3;5;b7;9,E,G#,A#,F#,,
F#,9,,x,1,3,2,4,x,1;3;5;b7;9,A#,E,G#,C#,,
F#,9b5,,2,1,3,1,1,4,1;3;b5;b7;9,F#,A#,E,G#,C,F#
F#,9b5,,x,x,1,2,3,1,1;3;b5;b7;9,F#,C,E,G#,,
F#,9b5,,1,2,1,3,4,1,1;3;b5;b7;9,C,F#,A#,E,G#,C
F#,7,,1,3,1,2,4,1,1;3;5;b7,F#,C#,E,A#,E,F#
F#,7,,x,3,2,4,1,x,1;3;5;b7,F#,A#,E,F#,,
F#,7,,x,1,3,1,4,1,1;3;5;b7,F#,C#,E,A#,C#,
F#,7,,1,3,1,2,1,1,1;3;5;b7,F#,C#,E,A#,C#,F#
F#,7,,1,x,2,4,3,x,1;3;5;b7,F#,E,A#,C#,,
F#,7,,x,x,x,2,1,3,1;3;5;b7,C#,E,A#,,,
F#,dim7,,2,4,1,3,x,x,1;b3;b5;bb7,A,Eb,F#,C,,
F#,dim7,,x,2,3,1,4,x,1;b3;b5;bb7,A,Eb,F#,C,,
F#,dim7,,x,x,1,3,2,4,1;b3;b5;bb7,Eb,A,C,F#,,
